Date,Open,High,Low,Close,Adj Close,Volume
15-04-2025,0.158502996,0.161061004,0.153257996,0.153549999,0.153549999,777400544
16-04-2025,0.153547004,0.157003,0.150943995,0.154688001,0.154688001,823568608
17-04-2025,0.154690996,0.159351006,0.153181002,0.155739993,0.155739993,586169227
18-04-2025,0.155741006,0.158769995,0.153773993,0.157616004,0.157616004,477534244
19-04-2025,0.157618001,0.160556003,0.156523004,0.157333001,0.157333001,477710096
20-04-2025,0.157333001,0.159282997,0.152744994,0.155184001,0.155184001,637644889
21-04-2025,0.155184001,0.162934005,0.155139998,0.159388006,0.159388006,1038358279
22-04-2025,0.159387007,0.179370999,0.157954007,0.178647995,0.178647995,1568128902
23-04-2025,0.178652003,0.185021996,0.175658002,0.178605005,0.178605005,1860794550
24-04-2025,0.178605005,0.183145002,0.170260996,0.182457,0.182457,1479272164
25-04-2025,0.182459995,0.186035007,0.178120002,0.181830004,0.181830004,1731253893
26-04-2025,0.181832001,0.192442998,0.180410996,0.181889996,0.181889996,1467785872
27-04-2025,0.181890994,0.183145002,0.177002996,0.179672003,0.179672003,1113159755
28-04-2025,0.179673001,0.182671994,0.174373001,0.178951994,0.178951994,1345897366
29-04-2025,0.178951994,0.180540994,0.172794998,0.174636006,0.174636006,966758883
30-04-2025,0.17464,0.176349998,0.167269006,0.172340006,0.172340006,970750123
01-05-2025,0.172341004,0.183290005,0.172294006,0.180758998,0.180758998,1018176528
02-05-2025,0.180766001,0.184082001,0.179440007,0.181576997,0.181576997,1008214455
03-05-2025,0.181576997,0.182053,0.175508007,0.175757006,0.175757006,577738365
04-05-2025,0.175757006,0.177264005,0.170170993,0.170552,0.170552,626186290
05-05-2025,0.170552,0.174538001,0.168666005,0.170604005,0.170604005,689655044
06-05-2025,0.170604005,0.172401994,0.164398,0.172115996,0.172115996,831221260
07-05-2025,0.172114998,0.174062997,0.169480994,0.172006994,0.172006994,677248571
08-05-2025,0.172010005,0.197938994,0.171893001,0.197577,0.197577,1943565536
09-05-2025,0.197580993,0.212634996,0.193339005,0.205290005,0.205290005,2387581238
10-05-2025,0.205294997,0.249109998,0.203610003,0.248688996,0.248688996,3238796872
11-05-2025,0.248682007,0.258738995,0.223580003,0.231508002,0.231508002,3518175098
12-05-2025,0.231509,0.251540989,0.222185001,0.231002003,0.231002003,4628696012
13-05-2025,0.231002003,0.242899001,0.218023002,0.241215006,0.241215006,2734212256
14-05-2025,0.241215006,0.246768996,0.228742003,0.232807994,0.232807994,2249826077
15-05-2025,0.232806996,0.236436993,0.214922994,0.219189003,0.219189003,2477683429
16-05-2025,0.219193995,0.230296001,0.218316004,0.221286997,0.221286997,1759584218
17-05-2025,0.221286997,0.222045004,0.211487994,0.214698002,0.214698002,1499656753
18-05-2025,0.214698002,0.237157002,0.214377999,0.234181002,0.234181002,2360198976
19-05-2025,0.233961001,0.235143006,0.214544997,0.224420995,0.224420995,2122215648
20-05-2025,0.224420995,0.230326995,0.218045995,0.226126,0.226126,1815889701
21-05-2025,0.226126999,0.237582996,0.223293006,0.234057993,0.234057993,2813244924
22-05-2025,0.234068006,0.245438993,0.234063998,0.245028004,0.245028004,2739121621
23-05-2025,0.245028004,0.253616989,0.223777995,0.224813998,0.224813998,3466192197
24-05-2025,0.224813998,0.230361998,0.224053994,0.225297004,0.225297004,1223553027
25-05-2025,0.225297004,0.226271003,0.216231003,0.224984005,0.224984005,1528958070
26-05-2025,0.224983007,0.230275005,0.223010004,0.226025,0.226025,1172026172
27-05-2025,0.226030007,0.232006997,0.220109999,0.226163998,0.226163998,1406054690
